題目,選項A,選項B,選項C,選項D,正確答案,詳解,分類
地球磁場的倒轉與極性變化，主要與地球內部哪一個圈層的流體動力機制（發電機學說）有關？,固態的內核,液態的外核,軟流圈的熱對流,地殼的岩漿活動,B,根據發電機學說，地球液態外核中富含鐵鎳等導電金屬流體，其熱對流與科氏力作用產生了電流，進而引發感應磁場。這本質上是流體力學與電磁學在地球內部的綜合展現。,地質
在北半球高空，當氣壓梯度力與科氏力達到平衡時所吹的風稱為地轉風。請問若不考慮摩擦力，高空氣流會如何沿著等壓線運動？,垂直等壓線，由高壓流向低壓,平行等壓線，高壓在氣流前進方向的右側,平行等壓線，高壓在氣流前進方向的左側,呈螺旋狀向低壓中心輻合,B,北半球科氏力會使運動中的流體向右偏轉。當氣壓梯度力（推向低壓）與科氏力（向右偏）大小相等、方向相反時達到平衡，此時氣流會平行於等壓線前進，且順著風向看，高壓會在右側。,大氣
驅動全球海洋深層「溫鹽環流 (Thermohaline circulation)」下沉的主要物理機制為何？,赤道地區的強烈日照造成海水膨脹下沉,極區海水結冰析出鹽分，使剩餘海水密度大增而下沉,湧升流將深層富含營養鹽的海水帶至表層後因重力回落,海底火山熱對流加熱底層海水產生垂直交換,B,溫鹽環流是因密度差異驅動的流體運動。在北大西洋極區，海水溫度極低且因海冰形成（結冰過程會排除鹽分）導致表面海水鹽度升高，整體密度大幅增加而下沉，成為驅動全球深層洋流的馬達。,海洋
觀察遙遠星系的恆星光譜時，發現其光譜線皆往波長較長的方向偏移（紅移現象）。根據都卜勒效應，這代表什麼物理意義？,該星系正在遠離我們,該星系正在靠近我們,該星系的溫度正在急遽下降,該星系的重力場正在急遽增強,A,就像救護車遠離時警報聲頻率變低（波長變長）一樣，光波的都卜勒效應顯示，當光源遠離觀測者時，觀測到的波長會變長，在可見光譜中即為向紅光端偏移（紅移），這是宇宙膨脹的重要觀測證據。,天文
地震發生時，測站會接收到 P 波與 S 波。但在角距離 103 度至 142 度的區域卻幾乎接收不到直接傳遞的 P 波與 S 波（陰影區）。造成 P 波陰影區的主要原因為何？,P波被地函完全吸收,P波在核函邊界發生劇烈折射,P波無法在液態外核中傳播,P波在軟流圈發生全反射,B,S波陰影區是因為S波無法穿透液態外核；而P波雖能穿透液態外核，但由於波速在外核突然下降，導致射線在核函邊界發生劇烈折射而向內偏折，進而在地表形成接收不到直接 P波的環狀陰影區。,地質
關於板塊構造學說中的「轉形斷層（Transform fault）」，下列敘述何者精確？,屬於正斷層的一種，常伴隨深層地震,僅存在於中洋脊兩側，不會延伸至大陸板塊,其兩側板塊的運動方向相反，且多為淺層地震,會產生大量的安山岩質岩漿活動,C,轉形斷層是平移斷層的一種，兩側板塊水平錯動，且因為錯動發生在較薄、較脆的岩石圈表層，因此地震幾乎都屬於淺源地震（深度小於70公里），且不伴隨岩漿活動。,地質
在鑑定礦物時，「解理」是極重要的物理特徵。雲母具有極佳的單向解理，而石英則完全沒有解理，僅有斷口。造成兩者差異的根本物理機制為何？,雲母含有金屬鍵，而石英僅有共價鍵,雲母的矽酸鹽四面體呈片狀排列，層間鍵結極弱；石英為3D網狀結構，各方向鍵結強度一致,石英的硬度高於雲母，因此無法破裂,雲母在結晶時受到的壓力大於石英,B,解理是礦物受力後沿著內部原子鍵結較弱的平面破裂的現象。雲母是片狀矽酸鹽，層與層之間靠微弱的凡得瓦力結合；石英則是網狀矽酸鹽，各個方向的共價鍵強度相當，因此受力只會產生不規則斷口。,地質
科學家常利用有孔蟲殼體中的氧同位素比值（18O / 16O）來推測古氣候。當地球處於「冰期（Glacial period）」時，深海沉積物中有孔蟲殼體的氧同位素比值會有何變化？,變大，因為富含 16O 的水被鎖在兩極冰川中,變小，因為富含 18O 的水被蒸發到大氣中,變大，因為深海水溫升高增加了 18O 的溶解度,不變，氧同位素比值僅受海水鹽度影響,A,16O 較輕，容易蒸發。在冰期，富含 16O 的水氣降雪後被鎖在陸地冰川中，無法流回海洋，導致海水中較重的 18O 比例相對升高。因此底棲有孔蟲吸收海水碳酸鈣造殼時，其 18O/16O 比值會偏高。,地質
斯堪地那維亞半島目前正以每年幾毫米的速度持續上升。此現象最適當的地質學解釋為何？,歐亞板塊與北美板塊正在劇烈擠壓,中洋脊的熱力膨脹效應擴散至該區域,上次冰河期結束後，冰帽融化導致地殼重量減輕，軟流圈物質回流使地殼達成地殼均衡（Isostasy）反彈,該地底下的熱柱（Mantle plume）活動正在增強,C,這是經典的「地殼均衡說」實例。冰河期時厚重的冰層壓迫地殼陷落；冰層融化後，移除負載的地殼為了恢復靜力平衡，會緩慢向上反彈（Glacial isostatic adjustment）。,地質
氣塊在上升過程中，若未達飽和，會依循乾絕熱遞減率（約 10°C/km）降溫；一旦達到飽和，則會依循濕絕熱遞減率（約 5~6°C/km）降溫。導致兩者數值差異的熱力學機制為何？,飽和後水氣凝結成液態水，釋放潛熱抵銷了部分因膨脹而下降的溫度,飽和氣塊的密度較大，上升速度變慢，降溫隨之減緩,水滴的比熱大於空氣，因此降溫較慢,飽和後氣壓梯度力減弱，導致絕熱膨脹效應降低,A,絕熱膨脹本身會讓氣塊降溫，但水氣從氣態變成液態（凝結）是一個放熱過程。這股釋放出來的潛熱（Latent heat）會加熱氣塊，抵銷掉一部分因膨脹造成的降溫，因此濕絕熱遞減率小於乾絕熱遞減率。,大氣
在熱帶大洋上，颱風（熱帶氣旋）通常生成於南北緯 5 度到 20 度之間，卻極少在赤道（南北緯 0 到 5 度）直接生成。主要原因為何？,赤道地區海水溫度不足以提供足夠潛熱,赤道地區科氏力趨近於零，無法使輻合的氣流產生旋轉形成氣旋,赤道地區對流層頂高度太低，限制了積雨雲的發展,赤道地區受到副熱帶高壓帶籠罩，氣流以下沉為主,B,熱帶氣旋的生成需要足夠的海溫（提供熱能）與科氏力（提供旋轉的角動量）。赤道上的科氏力參數為零，氣流只會直線匯流填補低壓，無法形成渦旋結構，因此無法生成颱風。,大氣
正常年份下，赤道太平洋上空存在著封閉的「沃克環流（Walker Circulation）」。當強烈的「聖嬰現象（El Niño）」發生時，沃克環流及東太平洋的海洋混合層會有何改變？,沃克環流增強，東太平洋混合層變深,沃克環流減弱或反向，東太平洋混合層變淺,沃克環流增強，東太平洋混合層變淺,沃克環流減弱或反向，東太平洋混合層變深,D,聖嬰發生時，赤道東風減弱，溫暖的海水向東回流。這導致沃克環流減弱甚至分裂反向；同時，東太平洋表層積聚了大量暖海水，使得冷水上湧受阻，斜溫層（混合層底部）大幅下移變深。,大氣
天空中的彩虹分為「虹（Primary bow）」與「霓（Secondary bow）」。相較於虹，霓的亮度較暗且顏色排列順序剛好相反（外紫內紅），其幾何光學原因為何？,光線在水滴內部發生了一次折射與兩次反射,光線在水滴內部發生了兩次折射與兩次反射,光線在水滴內部發生了一次反射與兩次折射,光線繞射水滴邊緣時產生的干涉條紋差異,B,虹是光線進入水滴發生「折射-反射-折射」所形成；霓則是光線進入水滴發生「折射-反射-反射-折射」。因為多了一次內部反射，損失了更多能量（亮度變暗），且光路交錯導致射出的色光排列與虹相反。,大氣
"米蘭科維奇循環（Milankovitch cycles）描述了地球軌道變化對長期氣候的影響。其中「歲差（Precession）」週期約為 26,000 年。若半個週期（約 13,000 年）後，北半球夏季剛好處於近日點，對北半球氣候有何影響？",季節日照差異變小，有利於冰川擴張,夏季變得更炎熱，冬季變得更寒冷，年溫差變大,整年平均氣溫急遽下降，進入嚴重冰室氣候,夏季降雪量大增，導致副熱帶沙漠消失,B,目前北半球夏季時地球位於遠日點。一萬三千年後，歲差導致北半球夏季對應到近日點，屆時北半球夏季會接收到更多太陽輻射（更熱），冬季則位於遠日點（更冷），導致季節溫差大幅加劇。,大氣
在海洋學中，海嘯（Tsunami）雖然波長極長，但傳播速度極快。若以淺水波的視角來看，海嘯波的傳播速度主要取決於下列哪一個物理量？,海底的地震規模,海洋的深度,海水的表面張力,海水的鹽度與密度梯度,B,淺水波的定義是波長遠大於水深（波長 > 20倍水深）。海嘯波長動輒數百公里，因此在任何海洋中皆視為淺水波。淺水波波速公式為 v = √(g * h)，其中 g 為重力加速度，h 為水深，波速僅與水深有關。,海洋
在北半球的沿岸海域，若海岸線在觀測者的左方，且持續吹拂強烈的平行海岸風，海面上會因為艾克曼傳輸（Ekman transport）產生何種現象？,表層海水向岸堆積，造成沿岸下沉流,表層海水離岸流動，造成沿岸湧升流,表層海水形成強烈的中尺度渦旋,產生強烈的沿岸流，但不影響垂直流動,B,在北半球，艾克曼傳輸會使表層海水的總體質量沿著風向的右方（即離岸方向）流動。由於表層海水被推離海岸，底層的冷海水必須向上補充，進而形成富含營養鹽的沿岸湧升流（Coastal upwelling）。,海洋
驅動全球深海「溫鹽環流（Thermohaline circulation）」的最主要動力來源位於北大西洋極區周圍。該區海水下沉的物理機制為何？,溫暖的墨西哥灣流遇冷收縮，加上結冰過程析出鹽分使得剩餘海水密度大增,巨大的冰山融化釋放大量淡水，增加水體質量造成下沉,北大西洋的強烈氣旋風場將表層海水硬性向下壓迫,深海熱泉的高溫導致底層海水密度劇減而產生垂直對流,A,溫鹽環流主要受密度驅動。表層洋流（墨西哥灣流）將高鹽度海水帶至高緯度冷卻，且冬季海面結冰時，冰晶不含鹽分，會將鹽分排擠到周圍海水中（Brine rejection），使海水變得極冷且極鹹，密度大增而下沉。,海洋
全球表層海水的鹽度分布並不均勻。一般而言，大洋中鹽度最高的海域出現在下列哪一個緯度帶？原因為何？,赤道地區；因為赤道日照最強，蒸發量最大,副熱帶高壓帶（南北緯30度附近）；因為此區受下沉氣流籠罩，蒸發量遠大於降水量,極區；因為海水結冰析出鹽分,中緯度西風帶；因為洋流交會造成鹽分富集,B,表層海水鹽度主要取決於「蒸發量與降水量的差值」。赤道雖熱但降水豐富（赤道低壓帶），鹽度反而略低；副熱帶高壓帶天氣晴朗炎熱，降水稀少且蒸發強烈，因此成為全球表層大洋鹽度最高的地方。,海洋
引潮力（Tide-generating force）是造成海洋潮汐的主因。相較於太陽，月球的質量遠小於太陽，但月球對地球的引潮力卻是太陽的 2.1 倍。其背後的物理依據為何？,因為月球的自轉週期與公轉週期同步,因為引潮力與距離的「三次方」成反比，距離的影響遠大於質量的影響,因為月球軌道平面（白道面）與黃道面有交角,因為地球海洋對月球重力場產生了共振效應,B,引潮力本質上是物體兩側受到的重力差（引力梯度）。萬有引力與距離平方成反比，但引力差（引潮力）在經過微積分推導後，與距離的「三次方」成反比。由於月球離地球極近，距離效應完全壓過了質量上的劣勢。,海洋
在赫羅圖（H-R Diagram）中，若有一顆恆星位於主序帶的右上方（如紅巨星）。這代表該恆星具有何種物理特徵？,表面溫度極高，光度極低，半徑極小,表面溫度極低，光度極高，半徑極大,表面溫度極高，光度極高，半徑適中,表面溫度極低，光度極低，半徑極大,B,赫羅圖的橫軸為表面溫度（向右遞減），縱軸為光度（向上遞增）。位於右上方代表溫度低（呈現紅色）但光度極高。根據史蒂芬-波茲曼定律（L = 4πR²σT⁴），在低溫下要有高光度，唯一的可能是其表面積（半徑 R）極度巨大。,天文
地球的「太陽日（Solar day）」平均為 24 小時，而「恆星日（Sidereal day）」約為 23 小時 56 分 4 秒。造成這將近 4 分鐘時間差的根本原因為何？,地球自轉軸的進動現象（歲差）,月球繞地球公轉造成的潮汐摩擦減速,地球在自轉的同時也繞著太陽公轉,太陽系整體在銀河系中運行的速度造成的相對論效應,C,恆星日是地球相對於遙遠背景恆星自轉一圈（360度）的時間。但因為地球同時繞太陽公轉，自轉 360 度後，太陽並不在正午原位，地球還需多轉約 1 度（耗時約 4 分鐘）才能讓太陽回到同一相對位置，這段時間即為太陽日。,天文
根據克卜勒第二定律（等面積定律），行星在橢圓軌道上運行時，與太陽的連線在相等時間內掃過相等的面積。這項定律在古典力學上等價於哪一個守恆定律？,力學能守恆,線動量守恆,質量守恆,角動量守恆,D,克卜勒第二定律指出行星在近日點速度快、遠日點速度慢。這本質上是因為太陽重力屬於連心力，不對行星作力矩，因此行星繞太陽的「角動量（r × mv）」必須守恆，距離 r 變小時，速度 v 必須變大。,天文
天文學家觀測到遙遠星系的光譜出現了普遍的「紅移（Redshift）」現象。根據哈伯-勒梅特定律（Hubble-Lemaître law），這項觀測結果證明了下列哪一項宇宙學理論？,宇宙背景輻射的存在,宇宙中的暗物質比例遠大於重子物質,空間本身正在膨脹，導致星系彼此遠離,黑洞具有強大的重力場會導致光子損失能量,C,哈伯觀測到星系的紅移量與其距離成正比（v = H0 * d）。這並非星系在靜止空間中運動，而是「空間本身的尺度在拉伸」，使得在空間中行進的光波波長也被拉長（紅移），這成為宇宙膨脹最直接的證據。,天文
「視差法（Parallax）」是測量鄰近恆星距離最基本且幾何上最嚴謹的方法。但在地面天文台上，視差法卻無法用來測量超過 100 秒差距（約 326 光年）外的恆星。主要限制為何？,遙遠恆星的光度太弱，無法在底片上成像,遙遠恆星的視差角極小，小於地球大氣擾動（視寧度）造成的極限解析誤差,星際塵埃會完全遮蔽 100 秒差距外的恆星光線,太陽系的公轉軌道半徑不足以提供基線長度,B,視差法利用地球公轉軌道直徑作為基線（Baseline），恆星越遠，視差角越小。超過 100 秒差距的恆星視差角小於 0.01 角秒，這在傳統地面望遠鏡中，會被地球大氣層的擾動（Seeing）造成的模糊光斑完全掩蓋而無法測量。,天文
利用「凌日法（Transit method）」尋找系外行星時，若觀測到恆星的亮度下降了 1%，假設恆星與行星皆為完美球體且表面亮度均勻，這代表該行星的半徑大約是恆星半徑的多少倍？,1/100,1/10,1/2,1/10000,B,亮度下降比例等於「行星截面積」除以「恆星截面積」，即 (Rp / Rs) 的平方。因為亮度下降 1% (1/100)，開根號後可得半徑比值為 1/10。,天文
位於北緯 40 度的觀測者，在天空中尋找「永遠不會落下地平線」的拱極星（Circumpolar stars）。請問這些恆星的赤緯（Declination）必須滿足什麼條件？,大於等於 +40 度,大於等於 +50 度,小於等於 -40 度,大於等於 -50 度,B,拱極星的發生條件為：赤緯大於或等於 (90度 - 觀測者緯度)。對於北緯 40 度的觀測者，恆星的赤緯必須大於等於 (90 - 40) = +50 度，才永遠不會落入地平線下。,天文
宇宙微波背景輻射（CMB）目前的絕對溫度約為 2.7 K，且其峰值波長落在微波波段。若宇宙在未來持續膨脹，使得空間尺度變為目前的兩倍，則 CMB 的背景溫度會有何變化？,溫度降為 1.35 K，峰值波長變長,溫度維持 2.7 K，但光子數量減半,溫度升至 5.4 K，峰值波長變短,溫度與波長皆不變，僅輻射強度減弱,A,宇宙空間膨脹會將行進中光子的波長拉長。尺度變成兩倍，波長也變兩倍。根據維恩位移定律 (波長與絕對溫度成反比)，波長加倍代表輻射對應的黑體溫度減半，即 2.7K / 2 = 1.35K。,天文
木星與太陽的距離約為 5 天文單位。假設有一顆小行星繞木星運轉，且軌道半長軸與月球繞地球的軌道半長軸完全相同。已知木星質量約為地球的 318 倍，這顆小行星繞木星的週期大約是月球繞地球週期的多少倍？,約 1/318 倍,約 1/18 倍,約 18 倍,約 318 倍,B,根據克卜勒第三定律的精確版，週期的平方與中心天體質量成反比。軌道半長軸相同時，木星質量為 318 倍，因此週期平方變為 1/318。週期為 1/318 的平方根 (約為 1/17.8)，故約為 1/18 倍。,天文
關於白矮星（White Dwarf）的物理性質，下列敘述何者正確？,其內部主要藉由氫核融合維持流體靜力平衡,其體積大小與質量成正比，質量越大體積越大,其抵抗重力塌縮的力量來自於電子的簡併壓力,若質量超過 3 倍太陽質量將會塌縮成黑洞,C,白矮星已經耗盡核融合燃料，完全依靠量子力學中的「電子簡併壓力」來抵抗重力塌縮。其具有質量越大、半徑反而越小的奇特反比關係，且質量上限為錢德拉塞卡極限 (約 1.44 倍太陽質量)。,天文
氣流越過高山時常會形成「焚風」。若迎風面山腳(0m)氣溫為 25°C，氣塊抬升至 1000m 處達到飽和降雨，隨後越過 3000m 山頂，再沿背風坡下降至 0m。若乾絕熱遞減率為 10°C/km，濕絕熱遞減率為 6°C/km，背風面山腳氣溫約為？,25°C,31°C,33°C,37°C,C,迎風坡 0~1000m(未飽和)：25 - (10x1) = 15°C。1000~3000m(飽和)：15 - (6x2) = 3°C(山頂溫度)。過山後沿背風坡下降 3000~0m(未飽和增溫)：3 + (10x3) = 33°C。,大氣
在北半球高空，同一等壓面上的高壓中心與低壓中心，若兩者的「氣壓梯度力」大小完全相同，關於其周圍梯度風（Gradient wind）的風速比較，下列何者正確？,高壓周圍風速大於低壓周圍風速,低壓周圍風速大於高壓周圍風速,兩者風速必然相等,無法比較，取決於地表摩擦力,A,梯度風受離心力影響。低壓中心(氣壓梯度力向內)：梯度力 = 科氏力 + 離心力。高壓中心(氣壓梯度力向外)：科氏力 = 梯度力 + 離心力。在梯度力相同時，高壓系統需要極大的科氏力(即極大的風速)才能達成力學平衡。,大氣
在中高緯度地區的冷雲（雲頂溫度低於 0°C）中，促使雲滴迅速長大成雨滴或雪花落下的伯傑龍過程（Bergeron process），其核心物理機制為何？,大水滴在下降過程中受重力加速，不斷併合小水滴,在相同負溫下，冰晶表面的飽和水氣壓「小於」過冷水滴，導致水氣凝華於冰晶上,雲層頂部的強烈輻射冷卻，使所有水滴瞬間凍結破裂,雲中的強烈靜電場改變了水分子的表面張力,B,0°C 至 -40°C 間冰晶與過冷水共存。因為冰的飽和水氣壓較低，空氣對水滴未飽和(水滴蒸發)，但對冰晶卻過飽和(水氣凝華在冰晶上)。冰晶剝奪了水滴的水分迅速長大，是溫帶降雨的主因。,大氣
北半球溫帶氣旋（Mid-latitude cyclone）發展至成熟晚期時，常會形成「囚錮鋒（Occluded front）」。關於囚錮鋒的形成原因，下列何者正確？,冷鋒移動速度快於暖鋒，追上暖鋒並將中間的暖空氣完全抬升至高空,暖鋒移動速度快於冷鋒，覆蓋在冷空氣之上形成極端逆溫層,極地的強烈高壓脊向下延伸，將鋒面帶攔腰切斷,颱風轉化為溫帶氣旋時，眼牆結構崩潰所引發的動力不穩定,A,來自極地的冷空氣密度大且推動力強，導致冷鋒的推進速度遠快於暖鋒。當冷鋒追上暖鋒，兩股冷空氣相遇，會將夾在中間的暖空氣完全擠壓抬升脫離地面，氣旋也隨之開始消散。,大氣
地球自轉軸傾角目前約為 23.5 度，並有約四萬年的週期變化。若未來地球自轉軸傾角變「小」（例如降至 22.1 度），對全球長期氣候發展有何影響？,赤道與極地的年平均溫差變小，熱對流停滯不利於冰川發展,中高緯度地區的季節溫差變小，夏季變涼爽，有利於冰川累積與冰河期發展,全球各地將失去四季變化，長年處於極端乾燥氣候,極區的極晝與極夜現象將會交替消失,B,傾角變小代表太陽直射範圍縮小。對中高緯度而言，夏季日照變弱(較涼爽)，冬季變暖。涼爽的夏季使冬季累積的冰雪較不易在夏天融化，年復一年的累積有利於大陸冰川向低緯度擴張。,大氣
關於海洋中的「深水波（Deep water wave）」，波速 C 僅與波長 L 相關。當強烈風暴在遠洋產生各種類型的波浪後，傳遞至數千公里外平靜的海岸，觀測者會最先觀察到何種波浪特徵？,波長較短、週期較短的波浪最先抵達,波長較長、週期較長的波浪最先抵達,所有波長的波浪因為色散抵銷，會同時抵達,振幅最大（波高最高）的波浪最先抵達，與波長無關,B,深水波的波速與波長(或週期)的平方根成正比，波長越長跑得越快，此物理現象稱為色散(Dispersion)。因此風暴產生的波浪中，長波長的「湧浪(Swell)」會像短跑選手一樣率先脫穎而出抵達岸邊。,海洋
北太平洋的黑潮（西邊界流）具有流速快、流幅窄且深的特徵；而加利福尼亞洋流（東邊界流）則流速慢、寬淺。造成「西邊界流強化」現象的核心力學原因為何？,亞洲大陸的冬季強烈季風將海水持續向西推擠堆積,太平洋東西兩側海水鹽度差異所引發的深層熱鹽環流,科氏力隨緯度增加而變大（Beta效應），為維持行星位渦平衡而產生的不對稱,西太平洋的馬里亞納海溝提供了流體無摩擦的加速通道,C,因為地球是球面，科氏力參數從赤道向極地遞增(β效應)。為了平衡風場輸入的負渦度以維持整個大洋盆地的位渦守恆，洋流必須在西側形成極度強烈且集中的邊界流，藉由強大摩擦力來消耗渦度。,海洋
在某海域，水團 A（溫度 10°C，鹽度 35 psu）與水團 B（溫度 2°C，鹽度 34 psu）的密度完全相同。若這兩個水團發生等比例混合，混合後的新水團密度會有何變化？,密度保持不變，因為兩者原本密度完全相同,密度變大，新水團會向下沉降（增密下沉效應 Cabbeling）,密度變小，新水團會向上浮升,無法判斷，需視混合過程中與大氣的熱交換量而定,B,在 T-S (溫鹽) 圖上，海水的等密度線是一組向上凹的曲線。當兩個密度相同的點連線混合時，連線中點必然會切過密度更高的等密度線。因此兩水團混合後密度會異常變大而下沉。,海洋
在邊緣海（如北海）的潮汐系統中常存在「無潮點（Amphidromic point）」。關於無潮點周圍的潮波運動，下列敘述何者最為精確？,無潮點的潮差最大，且潮波由無潮點向四周呈同心圓輻射擴散,無潮點的潮差幾乎為零，高潮線（同潮時線）會繞著無潮點旋轉前進,無潮點是潮汐能量完全被海底摩擦力消耗殆盡的終端區,無潮點僅會出現在赤道海域，因為該處的垂直科氏力為零,B,受科氏力與海岸邊界反射影響，潮波會在海盆內形成旋轉駐波。無潮點即為駐波的節點，該處水位幾乎不隨時間改變(無潮差)；而高潮點的波峰則會像時鐘指針一樣繞著無潮點作圓周運動。,海洋
近百年來海洋正在發生「酸化」現象，對造礁珊瑚與有孔蟲造成致命打擊。其最直接的化學機制為何？,海水中的氫離子直接腐蝕並穿透了生物的碳酸鈣殼體,二氧化碳與水反應產生劇毒的碳酸，破壞了珊瑚體內的共生藻,海水中的碳酸根離子（CO3^2-）濃度大幅下降，導致殼體難以形成甚至開始溶解,海洋的 pH 值已經降至 7 以下變成酸性，造成蛋白質變性,C,CO2 溶於水釋放 H+，雖然 pH 值下降(但仍在 8.1 左右的弱鹼性)，多餘的 H+ 會大量消耗海中的碳酸根離子(結合成碳酸氫根)。造殼生物面臨「建材(碳酸根)」短缺的危機，甚至已成形的殼體也會反向溶解。,海洋
某地區發生了芮氏規模（Richter scale）6.0 的地震，不久後鄰近斷層又發生了規模 8.0 的地震。請問規模 8.0 地震所釋放的「能量」大約是規模 6.0 地震的多少倍？,2 倍,32 倍,1000 倍,32000 倍,C,地震規模 M 與能量 E 的關係式中，規模每增加 1.0，釋放能量約增加 32 倍 (精確值為 10 的 1.5 次方)。兩次地震規模相差 2.0，因此能量相差約 32 x 32，即 1000 倍。,地質
在地質圖上，若沉積岩層的露頭界線穿越一條由南向北流的 V 型河谷時，界線在圖上呈現一個「指向南方」的 V 字型。根據 V 字法則，該岩層的傾斜狀態為何？,岩層必定是水平走向,岩層向北傾斜,岩層向南傾斜，且傾角小於河床坡度,岩層向南傾斜，且傾角大於河床坡度,D,河水由南向北流，代表南方為上游高處。根據 V 字法則，若岩層傾向與地形坡向相同，且傾角「大於」坡角時，V 字尖端會指向高處(上游)。尖端指南，故岩層向南傾，且傾角大於河床坡度。,地質
