題目,選項A,選項B,選項C,選項D,正確答案,詳解,分類
根據鮑氏反應系列（Bowen's reaction series），岩漿在冷卻結晶時礦物會依特定順序析出。下列哪一種礦物最晚結晶析出，且在地表化學風化作用下最為穩定？,橄欖石（Olivine）,輝石（Pyroxene）,鈣長石（Ca-rich Plagioclase）,石英（Quartz）,D,鮑氏反應系列指出石英是最後一個在低溫(約700°C)富矽岩漿中結晶的礦物。由於其結晶環境最接近地表常溫常壓，加上立體網狀的強大共價鍵結構，使其具有極高的化學穩定性與抗風化能力。,地質
利用放射性同位素鑑定火成岩，測得標本內母元素與衰變後子元素的原子數量比為 1：7。若該元素半衰期為 12 億年，且初始不含子元素，該岩石年齡約為？,12 億年,24 億年,36 億年,48 億年,C,母子比例 1:7 代表剩餘母元素佔總量的 1/(1+7) = 1/8。因為 1/8 = (1/2)的三次方，代表元素經歷了 3 個半衰期。因此岩石形成時間為 3 × 12 億年 = 36 億年。,地質
關於中洋脊兩側海底地殼的「古地磁條帶（Magnetic stripes）」，下列敘述何者錯誤？,磁性條帶的走向大致與中洋脊平行,以中洋脊為中心，兩側磁性條帶的寬度與正反轉序列呈現高度對稱,記錄了地球磁場曾經發生多次南北極反轉的歷史,距離中洋脊越遠的岩帶，其所記錄的古地磁場強度必然越強,D,古地磁條帶的強弱變化反映的是當時岩漿冷卻時，地球磁場本身的強度與方向。距離中洋脊越遠只代表板塊生成的年代越古老，並不代表地磁強度會因為距離而增強。,地質
【108決賽改編】假設地球為正圓球體（半徑 R），太陽輻射總能量為 E (J/s)，日地距離為 d。若地球的行星反照率為 A，在輻射平衡狀態下，地球表面單位面積向外輻射的能量 W 應如何表示？,W = (E × (1-A)) / (16 × π × d²),W = (E × (1-A)) / (4 × π × d²),W = (E × (1-A)) / (π × R²),W = (E × R² × (1-A)) / d²,A,太陽常數 Q = E / (4πd²)。地球接收的總能量為 Q × πR² × (1-A)。地球輻射散逸的總能量為 W × 4πR²。輻射平衡時兩者相等，解得 W = Q × (1-A) / 4，將 Q 代入即得 W = E(1-A) / 16πd²。,氣象
【108決賽改編】根據艾里假說（Airy's hypothesis）的地殼均衡理論，若某山脈高度為 h，地殼密度為 ρc，地函密度為 ρm，則該山脈深入地函的山根厚度 r 為何？,r = h × (ρm / ρc),r = h × (ρc / (ρm - ρc)),r = h × ((ρm - ρc) / ρc),r = h × (ρc / ρm),B,根據流體靜力平衡，山脈柱體與相鄰平地柱體在補償深度上的壓力必須相等。平地地殼厚度為 H，山區厚度為 h+H+r。列式：ρc(h+H+r) = ρcH + ρmr。化簡後即可得 r = h × ρc / (ρm - ρc)。,地質
【108決賽改編】若一場強烈風暴在遠洋生成湧浪（Swell）傳向海岸。假設湧浪為深水波，測得波高為 10 公尺，週期為 30 秒。若重力加速度 g = 9.8 m/s²，則該湧浪抵達海岸前，在深海的傳播速度大約為何？,15.6 m/s,31.2 m/s,46.8 m/s,62.4 m/s,C,深水波波速 C = √(gL/2π)，又因波速 C = L/T，聯立可得 C = gT / 2π。直接代入 T=30，計算 9.8 × 30 / (2 × 3.14) 約為 46.8 m/s。波高在此階段不影響波速。,海洋
【108決賽改編】在某個深海 CTD（溫鹽深儀）的觀測站中，若測得水深 2000 公尺至 4000 公尺之間的水體，具有極低的溫度與相對較低的鹽度特徵。這層水體最可能是下列哪一種深層洋流？,北大西洋深層水（NADW）,南極底層水（AABW）,地中海溢流水（MOW）,南極中層水（AAIW）,B,全球海洋中，密度最大、位於最底層的水團通常是南極底層水（AABW），其特徵是極低溫且鹽度略低。北大西洋深層水（NADW）通常位於其上方，特徵是冷且高鹽度。地中海溢流水則是極高鹽度。,海洋
【108決賽改編】當秋季有颱風自巴士海峽向西移動時，臺灣東北部（如宜蘭地區）常發生異常劇烈的降雨。此現象主要是颱風外圍環流與下列何種天氣系統產生交互作用所致？,太平洋高壓脊,西南季風,東北季風（共伴效應）,滯留鋒面,C,秋季時大陸冷高壓逐漸增強，東北季風南下。當颱風在臺灣南方海面時，其逆時針旋轉的外圍環流（東南風）會與東北季風在臺灣東北部外海輻合，加上迎風面地形抬升，形成強烈的共伴效應降雨。,氣象
【108決賽改編】地震發生後，科學家利用地震儀記錄到的餘震數量衰減情況，常符合修正大森定律（Modified Omori's Law）：N(t) = k / (c+t)^p。若某地區主震發生後，餘震衰減極為緩慢，這代表該公式中的常數會有何特徵？,p 值極大（接近 2）,p 值極小（接近 0.5）,k 值為負數,c 值趨近於無限大,B,在大森定律中，p 值代表餘震衰減的速率（斜率）。p 值越大，代表餘震數量隨時間急遽下降；p 值越小（衰減極慢），代表板塊破裂帶的應力釋放較為複雜且緩慢，餘震會持續很長一段時間。,地質
【108決賽改編】利用「視差法」測量金星凌日以推算日地距離（1 AU）時，若不考慮太陽本身的視差，僅利用地球上 A、B 兩測站的直線距離 D、金星軌道半長軸 a (AU) 以及觀測到的金星視差角 θ，1 AU 的距離公式可簡化為何？,1 AU = D / (θ × a),1 AU = D / (θ × (1-a)),1 AU = (D × a) / θ,1 AU = θ / (D × (1-a)),B,利用相似三角形幾何關係。地球到金星距離為 (1-a) AU，地球兩測站距離 D 所張開的金星視差角 θ。由弧長公式（小角度近似）：D = θ × (1-a) × AU。移項即得 1 AU = D / (θ × (1-a))。,天文
【108決賽改編】在北半球中高緯度地區，高空大氣的「地轉風（Geostrophic wind）」是氣壓梯度力與科氏力平衡下的產物。若不考慮摩擦力，且等壓線呈南北走向（西邊氣壓高，東邊氣壓低），則該地會吹什麼風？,北風,南風,東風,西風,A,氣壓梯度力由高壓指向低壓（由西向東）。在北半球，科氏力會使運動中的氣流向右偏轉。為了與向東的梯度力平衡，科氏力必須向西，這代表氣流必須向南運動（向南的氣流，其科氏力向西）。因此會吹北風。,氣象
【108決賽改編】國際太空站的太空人常能在高層大氣觀測到呈現帶狀分佈的「大氣輝光（Airglow）」現象。此現象與極光（Aurora）的主要物理差異為何？,輝光僅在極區出現，極光可見於全球,輝光是由大氣分子重組釋放能量產生，極光是由太陽風高能粒子撞擊產生,輝光的亮度遠高於極光,輝光僅發生在對流層頂，極光發生在熱氣層,B,大氣輝光是高層大氣（電離層）分子在白天吸收太陽短波輻射游離後，在夜間離子與電子「重新結合」時釋放光子的化學發光現象，全球皆有。極光則是受地球磁場引導的太陽風帶電粒子直接撞擊大氣分子所致，主要在極區。,天文
【108決賽改編】台灣島的布蓋重力異常（Bouguer anomaly）分布中，異常最低的區域（負異常最大）並未出現在海拔最高的中央山脈主脊下方，而是出現在中部的埔里至草屯一帶。這在地質構造上暗示了什麼？,台灣完全不符合地殼均衡說,中央山脈下方存在大規模的岩漿庫,中央山脈下方並未發展出極厚的地殼「山根」，最厚的地殼位於麓山帶下方,該區的板塊隱沒角度極為平緩,C,布蓋重力異常已經扣除了地形起伏的影響，負異常代表地下存在大量密度較低的物質（如較厚的大陸地殼山根）。台灣重力最低區偏西，顯示台灣造山帶可能並非傳統對稱的造山模式，而是非對稱的板塊擠壓，導致最厚的低密度山根偏向麓山帶。,地質
【109決賽改編】已知地球繞太陽公轉週期約為 365.25 天，月球繞地球的公轉週期（恆星月）約為 27.32 天。請問地球與月球的「會合週期（朔望月）」大約為多少天？,27.32,28.5,29.53,30,C,根據會合週期公式 1/S = 1/P_moon - 1/P_earth 。代入 27.32 與 365.25，可計算求得 S 約為 29.53 天 。,天文
【109決賽改編】利用 GPS 衛星定位時，訊號穿越地球大氣層的哪一個圈層時，會因為電漿（游離氣體）濃度改變導致電磁波傳播速度改變，進而成為 GPS 定位中最大的誤差來源？,對流層,平流層,臭氧層,電離層,D,GPS訊號通過電離層時，傳播介質的改變會使得傳播速度發生變化 。這種電離層的影響是 GPS 衛星定位中最大的誤差來源 。,天文
【109決賽改編】在北半球，當近地表的大氣受氣壓梯度力、科氏力與「地表摩擦力」三者達到平衡時，風向會如何偏轉？與海洋相比，陸地上的風向偏轉有何差異？,偏向高壓；陸地偏轉夾角較小,偏向高壓；海洋偏轉夾角較小,偏向低壓；陸地偏轉夾角較大,偏向低壓；海洋偏轉夾角較大,C,陸地上的風因受摩擦力影響較大，會偏向低壓（使得風向與等壓線夾角較大） 。海上的風較不受摩擦力影響，因此較平行於等壓線，偏轉夾角較小 。,氣象
【109決賽改編】某地測站地面氣溫為 35.5°C，露點溫度為 30.0°C。若空氣塊未飽和時的溫度遞減率為 10°C/km，露點遞減率為 2°C/km。當該空氣塊受抬升形成雲，請問雲底高度大約為多少公尺？,550,688,750,1000,B,氣塊未飽和時，每上升 1000m 溫度降低 10 度、露點降低約 2 度 。雲底即為兩者溫度相等的「舉升凝結高度」，計算：(35.5 - 30.0) / (10 - 2) × 1000 = 687.5 公尺，約為 688 公尺 。,氣象
【109決賽改編】地表有一深達 500 公尺的凹陷盆地。若該凹陷處完全被密度 2.2 g/cm³ 的砂質沉積物填滿，且下方地函密度為 3.3 g/cm³。假設該地達到地殼均衡（Isostasy），在不考慮水分填充的情況下，最終沉積物的總厚度約為多少公尺？,500,1000,1500,2000,C,地表凹陷原本深達 500 米 。在未填充水分下，由於沉積物加重導致地殼下沉，要達到等靜壓平衡，最終砂子沉積厚度為 500 × (3300 / (3300 - 2200)) = 1500 公尺 。,地質
【109決賽改編】就沉積環境的分布面積而言，地球表面上哪一種沉積岩的分布面積最廣？其主要原因為何？,砂岩；因為陸相環境的面積大於海相環境,砂岩；因為石英的抗風化能力最強,頁岩；因為海相盆地的面積遠大於陸相環境,頁岩；因為黏土礦物的沉降速度最快,C,陸相環境大部份面積堆積砂岩，海相環境大部份面積堆積頁岩 。因為地球表面上海相環境（海盆）面積大於陸相環境 ，所以地球表面上頁岩分布面積大於砂岩 。,地質
【109決賽改編】地震發生時的「破裂方向性效應（Directivity effect）」類似於都卜勒效應。若斷層破裂方向由東北朝西南發展，則位於震央「西南方」的測站，其接收到的地震波形會有何特徵？,震幅較小，歷時較長,震幅較大，歷時較短,震幅較小，歷時較短,震幅較大，歷時較長,B,破裂方向性效應會造成地震波能量隨斷層破裂發展而逐漸增加，且歷時較短 。因此往西南破裂時，位於西南方的測站會記錄到震矩變化率較明顯且歷時較短的強烈特徵 。,海洋
【109決賽改編】當赤道太平洋發生「反聖嬰現象（La Niña）」時，關於赤道大氣與海洋環流的變化，下列敘述何者正確？,赤道信風減弱，東太平洋湧升流減弱,赤道信風增強，西太平洋斜溫層變淺,赤道信風減弱，西太平洋海面高度下降,赤道信風增強，東太平洋斜溫層變更淺,D,發生反聖嬰現象時，表面海流向西傳送增加（信風增強），東赤道太平洋湧升現象加強 。這導致西太平洋斜溫層變更深，而東太平洋的斜溫層變更淺 。,海洋
【109決賽改編】科學家常利用礦物中的放射性同位素來測定岩石的絕對年代。為了確保定年結果準確，該礦物從結晶以來必須符合什麼物理化學條件？,礦物必須經歷過多次高溫變質作用,礦物系統必須是「封閉」的，母元素與子元素皆未散失,礦物必須位於大洋中洋脊的擴張中心,礦物中不能含有任何非放射性的同位素,B,放射性定年分析條件要求礦物必須是封閉的 。其元素必須全部封閉在原岩石中而不散失，且不可受到後來地質作用的改變或破壞 。,地質
【109決賽改編】在海洋反射震測圖中，常可見到一種與海床平行的「海底仿擬反射面（BSR）」。BSR 常與真實地層斜交，且反射相位與海床相反。BSR 的存在通常指示地底下含有何種資源？,頁岩油氣,天然氣水合物（可燃冰）,深海錳結核,塊狀硫化物（黑煙囪）,B,海底仿擬反射面 BSR 是指示海洋沉積層中是否有天然氣水合物存在的證據之一 。因為天然氣水合物受特定溫壓條件控制，使 BSR 與海床平行並與地層斜交，且反射相位與海床相反 。,地質
【110決賽改編】儘管亞馬遜河等巨型河川將大量淡水注入大西洋，大西洋的表層平均鹽度卻是全球三大洋中最高的。下列何者是造成此現象的最主要海洋與大氣物理機制？,大西洋盆地較淺，導致海底熱泉釋放的鹽分容易濃縮於表層,北大西洋深層水（NADW）的強烈湧升將底層高鹽度海水帶至表層,大西洋受副熱帶高壓籠罩區域廣，淨蒸發量大，且水氣常隨信風越過中美地峽進入太平洋,地中海極高鹽度的溢流水大量注入大西洋表層,C,根據110年決賽解析，大西洋的淨蒸發量（蒸發減降水）極大，且蒸發的水氣常受東風（信風）吹拂，越過低矮的中美洲地峽進入太平洋，導致淡水流失（水氣被搬運走），鹽分留在太平洋，這稱為「大洋間水氣傳輸效應」。,海洋
【110決賽改編】地震波由地表向下傳播時，若地球內部的波速隨深度 z 呈線性增加（V(z) = V₀ + αz）。根據司乃耳定律（Snell's law），地震波射線的傳播軌跡會呈現何種幾何形狀？,拋物線,圓弧形,雙曲線,垂直向下的直線,B,當介質波速隨深度呈線性增加時，根據司乃耳定律 (sinθ / V = 常數)，射線參數 (Ray parameter) 為定值。經過微積分幾何推導，這會使地震波在地下連續折射，其射線路徑會呈現一段完美的「圓弧」。,地質
【110決賽改編】地球同步氣象衛星位於赤道上空，繞地週期與地球自轉相同。若已知地球質量為 M，萬有引力常數為 G，地球自轉角速度為 ω。試問該同步衛星在軌道上的運行速率 v 應如何以物理公式表示？,v = (GMω)^(1/3),v = (GM / ω)^(1/2),v = (G M² ω)^(1/3),v = (GMω)^(1/2),A,同步衛星的向心力由萬有引力提供：GMm/r² = m·v²/r，且 v = r·ω。將 r = v/ω 代入引力公式，可得 GM / (v/ω)² = v²，移項化簡後為 v³ = GMω，因此運行速率 v = (GMω)^(1/3)。,天文
【110決賽改編】在探討全球暖化與氣候變遷時，大氣系統存在多種回饋機制。若溫室氣體增加導致地表溫度上升，使大氣中水氣增加，進而生成更多低層雲系。此一過程對地表氣溫的最終影響被稱為何種回饋作用？,雲反照率的正回饋作用，會加速地表增溫,雲反照率的負回饋作用，會減緩地表增溫,水氣的負回饋作用，會降低大氣長波輻射,潛熱的正回饋作用，會增加地表短波吸收,B,氣溫上升導致水氣變多、雲量增加。雲的反照率極高，會反射大量太陽短波輻射，減少地表接收到的能量，進而使地表溫度有下降的趨勢。這種「抑制」原本溫度變化趨勢的物理機制，稱為負回饋作用。,氣象
"【110決賽改編】某行星繞恆星運行的橢圓軌道上，已知其近日點距離與遠日點距離的比值為 88：91。請利用橢圓幾何性質估算該行星軌道的離心率（Eccentricity, e）大約為何？",0.017,0.034,0.051,0.088,A,橢圓軌道中，近日點距離 r = a(1-e)，遠日點距離 R = a(1+e)。已知 (1-e)/(1+e) = 88/91。交叉相乘得 91 - 91e = 88 + 88e，化簡得到 179e = 3，計算得 e 約為 0.0167，四捨五入為 0.017。,天文
【110決賽改編】現代氣象中心在預報颱風路徑時，常採用「系集預報（Ensemble Forecasting）」技術。關於此技術的物理與統計意義，下列敘述何者最精確？,藉由提高單一超級電腦的解析度，徹底消除大氣運動的渾沌效應,僅改變數值模式的物理參數化過程，但不改變初始場，以找出最可能的單一路徑,透過在初始觀測資料中加入微小的隨機擾動，執行多次預報，以評估預報的不確定性與機率分布,將多顆氣象衛星的觀測影像疊加，以獲得最清晰的颱風眼牆結構,C,大氣是高度非線性的渾沌系統，初始值的微小誤差會隨時間被放大（蝴蝶效應）。系集預報透過人為製造多組略微不同的初始狀態（或改變物理參數），跑出多條預測路徑，藉此量化未來天氣的不確定性並計算侵襲機率。,氣象
【110決賽改編】2021年底發射的詹姆斯·韋伯太空望遠鏡（JWST）被視為哈伯望遠鏡的繼任者。JWST 的觀測波段主要集中在紅外光，這項設計對於觀測「早期宇宙與遙遠星系」有何決定性的物理優勢？,紅外光的能量最強，能直接游離星際氣體以探測黑洞,早期宇宙的星系因宇宙膨脹產生極大的都卜勒紅移，其發出的紫外光與可見光皆被拉長至紅外光波段,宇宙微波背景輻射的峰值剛好落在紅外光波段，可藉此繪製大霹靂殘留的熱輻射圖,紅外光在太空中傳播的速度快於可見光，能更快接收到遙遠星系的訊號,B,根據哈伯定律，宇宙正在膨脹，越遙遠（越早期）的星系退行速度越快，導致極大的宇宙學紅移。這些早期星系原本發出的強烈可見光與紫外光，到達地球時波長已被拉扯至紅外光波段，因此必須使用紅外線望遠鏡才能觀測。,天文
【110決賽改編】NASA 的洞察號（InSight）探測器在火星表面記錄了多次「火星震」。若洞察號在某次震央距離極遠的火星震中，接收到了 P波，卻完全沒有接收到直接穿透火星核心的 S波。這項觀測最強烈暗示了什麼？,火星的內部溫度極低，已完全冷卻為固態,火星的核心與地球類似，至少其外核部分是呈現液態的,火星的地函富含高密度的橄欖石，吸收了所有的 S波,火星缺乏板塊運動，因此無法產生剪切應力（S波）,B,S波（剪力波）無法在流體（液態或氣態）中傳播。在火星上觀測到 P波卻觀測不到穿透核心的 S波，這與地球物理學中發現「地球液態外核」的原理完全相同，證實了火星核心至少有一部分是液態的。,地質
【110決賽改編】隨著人類燃燒化石燃料排放大量二氧化碳，除了造成溫室效應，還導致了「海洋酸化」。海洋酸化對造礁珊瑚及有孔蟲造成致命威脅，其最關鍵的海洋化學變化為何？,海水 pH 值降至 7.0 以下，強酸直接腐蝕生物的矽質外殼,二氧化碳溶於水形成碳酸，大幅增加了海水中碳酸根離子的濃度,多餘的氫離子與碳酸根結合形成碳酸氫根，導致海水中可用於造殼的碳酸根離子濃度驟降,酸性環境會促使深海甲烷冰大量融化，引發海底滑坡,C,海洋酸化雖然使 pH 值下降，但海水仍呈弱鹼性。致命的機制在於 CO2 溶於水釋出的氫離子 (H⁺) 會大量掠奪海水中的碳酸根 (CO₃²⁻) 結合變成碳酸氫根 (HCO₃⁻)。這導致海洋生物用來製造碳酸鈣骨骼的「碳酸根」建材嚴重匱乏。,海洋
【110決賽改編】在大氣氣候模型中，「水氣-地表溫度」的交互作用是一個典型的正回饋機制。下列哪一個物理過程最精確地描述了這個正回饋循環？,地表升溫使水氣凝結增加，釋放大量潛熱進一步加熱地表,地表升溫使大氣含水量增加，增加的水氣吸收更多地表長波輻射，並向下輻射使地表更熱,水氣增加會削弱臭氧層，使更多太陽紫外線直射地表，導致地表異常增溫,水氣增加會阻擋太陽短波輻射，但地表長波輻射的溫室效應超過短波遮蔽效應,B,溫室氣體增加使地表變暖，導致蒸發量大增，大氣中容納更多水氣。水氣本身是極強的溫室氣體，會吸收地表發出的長波輻射，並向下輻射回地表，導致地表進一步升溫，形成不斷放大的正回饋循環。,氣象
【111決賽改編】根據古登堡-芮克特定律（Gutenberg-Richter law）：log N = a - bM，若某地區觀測到規模 M ≥ 3 的地震年發生率為 100 次，且 b 值為 1.0。請問該地區規模 M ≥ 5 的地震年發生率約為多少次？,10,5,2,1,D,由 log N = a - bM，規模相差 2，log(N1/N2) = b(M2-M1) = 1.0 × (5-3) = 2。因此 N1/N2 = 10^2 = 100。規模 3 有 100 次，規模 5 即為 100 / 100 = 1 次。,地質
【111決賽改編】在地震震波探勘中，若波線以 60° 入射角進入介質，折射後與垂直面夾角為 75°，且介質 A 的 P 波速度為 6 km/s。若在此介質內波線走時為 0.8 秒，關於此介質的 P 波速度與傳播距離，下列何者正確？,速度約 10.7 km/s，距離約 8.5 km,速度約 8.2 km/s，距離約 6.6 km,速度約 6.0 km/s，距離約 4.8 km,速度約 4.5 km/s，距離約 3.6 km,A,利用司乃耳定律：sin(30°)/6 = sin(15°)/v。求得 v ≈ 10.65 km/s。在介質內傳播距離 = 速度 × 時間 = 10.65 × 0.8 ≈ 8.52 km。,地質
【111決賽改編】海底反射震測圖中常見的「海底仿擬反射面（BSR）」與地層反射面不同，關於其物理意義，下列何者正確？,BSR 相位與海床相同，指示沈積物密實度,BSR 反射相位與海床相反，指示天然氣水合物層,BSR 僅存在於火成岩基盤上方,BSR 隨地層傾斜，不平行海床,B,BSR 反射面是由高速的天然氣水合物層進入低速的游離氣層，反射相位與從海水（低速）進入沉積物（高速）的海床面相反。,地質
【111決賽改編】海洋「死區（Dead zones）」即嚴重缺氧區，近年分布範圍擴大。根據地理分布，這些缺氧區主要出現在河川出海口附近，其最主要的生態化學機制為何？,過量營養鹽導致藻類大規模爆發，後續分解過程大量耗氧,海洋暖化導致氧氣在海水中的飽和溶解度下降,海洋酸化導致珊瑚死亡，失去氧氣補充來源,海底火山爆發釋放大量二氧化碳，驅逐氧氣,A,河川出海口攜帶大量農業肥料（氮、磷），導致表層藻類大量繁殖（優養化）。藻類死亡後，細菌分解過程會消耗大量溶氧，造成中底層海水缺氧。,海洋
【111決賽改編】針對地震「破裂方向性效應」，若測得地震矩變化率（Source Time Function）的歷時較短且波形尖銳，代表測站位於斷層破裂發展的哪一個方向？,破裂進行方向（Forward direction）,破裂背向（Backward direction）,垂直於斷層走向方向,斷層兩端的正上方,A,破裂方向性效應導致沿著斷層破裂發展方向的測站，地震波能量隨時間累積而變強且發生「歷時壓縮」（時間變短），因此波形尖銳且歷時短。,地質
【111決賽改編】太陽的各項參數與地球物理觀測密切相關。關於太陽光譜的吸收線（夫朗和斐線，Fraunhofer lines），這些譜線的產生是因為什麼物理機制？,太陽大氣中的較冷氣體吸收了光球層發出的連續譜輻射,太陽核心核融合反應釋放的特定頻率能量,太陽黑子強磁場導致的塞曼效應,太陽系內行星大氣對太陽光的吸收,A,光球層發出連續譜，但太陽大氣中較冷的氣體會吸收對應能階的光子，在連續光譜中形成吸收線。,天文
【111決賽改編】若利用哈伯定律估算宇宙年齡，其數值主要取決於哈伯常數（H0）的倒數。若觀測發現哈伯常數 H0 較原先預測值更大，則下列關於宇宙特徵的推論，何者正確？,宇宙膨脹加速減緩，宇宙年齡變長,宇宙膨脹速率較快，宇宙年齡變短,宇宙微波背景輻射的紅移量將會消失,可觀測宇宙的邊界將縮小至太陽系範圍,B,宇宙年齡 t ∝ 1/H0。若 H0 變大，代表膨脹速率較快，推算回宇宙起源的時間（年齡）會變短。,天文
【111決賽改編】在電離層觀測中，GPS 訊號傳播會產生「虛擬距離」誤差。此誤差來源於 GPS 訊號通過電離層時，介質改變（真空轉為電漿）導致訊號發生何種變化？,傳播速度變慢，導致測得距離大於真實距離,傳播速度變快，導致測得距離小於真實距離,訊號頻率發生紅移，導致距離測量無效,電磁波偏振消失，導致定位誤差,A,電磁波在電漿（電離層）中的群速度會小於真空光速。GPS 訊號傳播變慢，接收機誤以為訊號在真空跑了這麼久，計算出的「虛擬距離」會大於真實距離。,天文
【111決賽改編】关于天文觀測的波段，韋伯望遠鏡（JWST）採用紅外線作為主要觀測波段，主要優勢為何？,紅外線能穿透星際塵埃，且能捕捉早期宇宙的高紅移星系訊號,紅外線能量足以直接撕裂星際分子以測量黑洞質量,紅外線不受大氣擾動影響，解析度遠超可見光,紅外線是恆星發射能量最強的波段,A,早期宇宙星系的高紅移信號會被拉長至紅外波段；此外，紅外線波長較長，不易被星際塵埃散射，能穿透塵埃看見星系內部的恆星形成過程。,天文
【111決賽改編】關於地球大氣垂直結構，下列哪一層是臭氧濃度最高，且受紫外線照射而呈現隨高度「溫度上升」的垂直特徵？,對流層,平流層,中氣層,熱氣層,B,平流層（Stratosphere）中存在臭氧層，能吸收太陽紫外線，釋放能量使該層隨高度升高而增溫（逆溫層）。,氣象